elapsed_seconds,heart_rate_bpm,speed_kmh,distance_m
0,84.0,0.0,0.0
1,85.0,0.0,0.0
2,85.0,0.0,0.0
3,85.0,0.0,0.0
4,85.0,0.0,0.0
5,84.0,0.0,0.0
6,83.0,0.0,0.0
7,83.0,0.0,0.0
8,83.0,0.0,0.0
9,83.0,0.0,0.0
10,83.0,0.0,0.0
11,83.0,0.0,0.0
12,83.0,0.0,0.0
13,82.0,0.0,0.0
14,82.0,0.0,0.0
15,81.0,0.0,0.0
16,82.0,0.0,0.0
17,82.0,0.0,0.0
18,83.0,0.0,0.0
19,83.0,0.0,0.0
20,84.0,0.0,0.0
21,84.0,0.0,0.0
22,84.0,0.0,0.0
23,84.0,0.0,0.0
24,83.0,0.0,0.0
25,82.0,0.0,0.0
26,82.0,0.0,0.0
27,81.0,0.0,0.0
28,80.0,0.0,0.0
29,79.0,0.0,0.0
30,78.0,0.0,0.0
31,78.0,0.0,0.0
32,78.0,0.0,0.0
33,78.0,0.0,0.0
34,77.0,0.0,0.0
35,77.0,0.0,0.0
36,76.0,0.0,0.0
37,76.0,0.0,0.0
38,76.0,0.0,0.0
39,77.0,0.0,0.0
40,76.0,0.0,0.0
41,77.0,0.0,0.0
42,78.0,0.0,0.0
43,78.0,0.0,0.0
44,80.0,0.0,0.0
45,81.0,0.0,0.0
46,83.0,0.0,0.0
47,84.0,0.0,0.0
48,84.0,0.0,0.0
49,84.0,0.0,0.0
50,84.0,0.0,0.0
51,84.0,0.0,0.0
52,83.0,0.0,0.0
53,83.0,0.0,0.0
54,83.0,0.0,0.0
55,83.0,0.0,0.0
56,83.0,0.0,0.0
57,83.0,0.0,0.0
58,83.0,0.0,0.0
59,83.0,0.0,0.0
60,83.0,0.0,0.0
61,84.0,0.0,0.0
62,84.0,0.0,0.0
63,85.0,0.0,0.0
64,84.0,0.0,0.0
65,84.0,0.0,0.0
66,84.0,0.0,0.0
67,83.0,0.0,0.0
68,83.0,0.0,0.0
69,82.0,0.0,0.0
70,81.0,0.0,1.27
71,81.0,0.0,1.27
72,81.0,0.0,5.27
73,81.0,0.0,6.48
74,81.0,0.0,6.48
75,81.0,0.0,13.89
76,82.0,0.0,15.97
77,83.0,0.0,15.97
78,84.0,0.0,18.18
79,85.0,0.0,18.18
80,86.0,0.0,18.18
81,86.0,0.0,23.05
82,87.0,0.0,27.12
83,88.0,0.0,27.12
84,88.0,0.0,32.34
85,89.0,0.0,32.34
86,90.0,0.0,32.34
87,90.0,3.0,34.23
88,90.0,6.4,34.23
89,89.0,5.4,38.84
90,89.0,4.8,38.84
91,90.0,4.8,38.84
92,90.0,4.1,43.75
93,90.0,3.7,46.7
94,91.0,3.4,46.7
95,92.0,3.4,46.7
96,94.0,3.4,46.7
97,96.0,3.0,48.88
98,97.0,3.0,48.88
99,100.0,3.0,48.88
100,101.0,3.2,50.24
101,101.0,3.8,52.3
102,100.0,4.3,52.3
103,94.0,4.3,56.4
104,94.0,4.3,56.4
105,91.0,4.3,56.4
106,89.0,3.4,57.87
107,89.0,3.2,57.87
108,90.0,3.2,57.87
109,90.0,4.0,59.83
110,90.0,4.3,61.11
111,90.0,4.5,61.11
112,90.0,3.1,66.33
113,90.0,2.8,69.34
114,90.0,2.9,69.34
115,90.0,3.4,76.41
116,91.0,3.4,76.41
117,92.0,3.1,78.53
118,92.0,3.1,78.53
119,92.0,2.3,79.53
120,90.0,2.3,79.53
121,88.0,2.4,85.38
122,87.0,2.4,86.55
123,86.0,2.4,88.79
124,85.0,2.4,88.79
125,85.0,3.5,94.57
126,85.0,3.8,94.57
127,85.0,3.7,96.63
128,84.0,3.5,98.21
129,84.0,3.4,98.21
130,83.0,3.5,100.29
131,82.0,3.6,102.01
132,82.0,3.6,102.01
133,82.0,3.6,102.01
134,83.0,5.4,104.34
135,83.0,6.5,104.34
136,83.0,6.6,108.02
137,85.0,8.5,109.9
138,85.0,8.2,111.6
139,86.0,8.0,111.6
140,87.0,8.0,111.6
141,88.0,8.0,111.6
142,89.0,8.0,111.6
143,89.0,8.0,118.78
144,92.0,7.9,121.25
145,93.0,8.1,123.5
146,94.0,8.1,123.5
147,94.0,6.7,147.57
148,95.0,5.7,158.78
149,95.0,5.7,158.78
150,96.0,6.1,172.06
151,96.0,6.3,172.06
152,98.0,6.4,177.4
153,100.0,7.2,179.88
154,102.0,7.7,179.88
155,104.0,8.2,185.89
156,105.0,9.2,189.96
157,105.0,11.6,196.49
158,108.0,13.2,196.49
159,109.0,11.6,198.04
160,109.0,11.3,202.28
161,110.0,11.9,210.33
162,111.0,12.2,210.33
163,112.0,12.1,222.09
164,112.0,12.1,222.09
165,113.0,12.0,222.09
166,115.0,10.5,226.55
167,115.0,9.8,229.54
168,117.0,9.4,229.54
169,118.0,9.5,238.8
170,118.0,9.5,238.8
171,119.0,9.5,244.86
172,119.0,9.6,244.86
173,119.0,9.4,250.43
174,119.0,9.2,250.43
175,120.0,9.2,256.48
176,120.0,9.3,260.87
177,120.0,9.5,264.94
178,120.0,9.6,264.94
179,120.0,9.7,270.92
180,120.0,9.8,270.92
181,121.0,8.9,275.18
182,121.0,9.8,281.96
183,123.0,9.9,284.62
184,124.0,9.9,284.62
185,125.0,9.8,290.73
186,126.0,9.8,290.73
187,127.0,9.3,296.06
188,128.0,9.0,296.06
189,128.0,8.8,303.85
190,128.0,8.8,306.7
191,128.0,8.9,306.7
192,127.0,9.1,313.08
193,127.0,9.8,318.17
194,126.0,10.2,318.17
195,126.0,10.7,325.22
196,126.0,10.8,328.51
197,125.0,10.8,340.3
198,125.0,11.5,344.56
199,124.0,11.0,347.46
200,124.0,10.3,349.67
201,124.0,9.5,350.93
202,125.0,9.5,350.93
203,125.0,9.7,352.85
204,125.0,9.8,352.85
205,125.0,10.4,356.53
206,126.0,10.9,356.53
207,127.0,10.9,363.81
208,128.0,10.9,363.81
209,130.0,10.8,386.75
210,131.0,10.8,386.75
211,131.0,9.5,390.2
212,133.0,8.6,390.2
213,135.0,8.5,397.87
214,135.0,8.5,397.87
215,137.0,8.9,405.48
216,138.0,8.7,407.42
217,138.0,8.7,412.33
218,138.0,8.8,416.72
219,138.0,9.0,423.66
220,139.0,9.2,423.66
221,139.0,9.3,430.86
222,139.0,9.4,430.86
223,139.0,9.6,437.37
224,139.0,9.7,437.37
225,139.0,9.4,443.12
226,140.0,9.2,443.12
227,140.0,8.9,448.03
228,140.0,8.8,450.65
229,140.0,9.2,454.66
230,141.0,9.5,454.66
231,141.0,9.9,461.06
232,141.0,10.1,463.97
233,141.0,10.0,466.23
234,141.0,9.9,466.23
235,141.0,9.8,472.84
236,142.0,9.6,475.88
237,142.0,9.3,479.39
238,142.0,9.7,483.51
239,143.0,9.9,483.51
240,143.0,10.3,490.54
241,143.0,10.5,490.54
242,143.0,10.4,495.86
243,144.0,10.3,495.86
244,144.0,9.5,500.38
245,143.0,9.8,504.56
246,143.0,9.9,504.56
247,143.0,9.8,510.05
248,143.0,9.8,513.11
249,143.0,9.8,516.09
250,143.0,9.7,516.09
251,143.0,9.6,522.1
252,143.0,9.6,522.1
253,143.0,9.4,526.05
254,144.0,9.2,526.05
255,144.0,8.9,530.13
256,144.0,8.7,530.13
257,145.0,9.1,536.82
258,145.0,9.5,540.55
259,145.0,9.7,540.55
260,145.0,9.8,546.74
261,144.0,9.5,549.16
