sample_index,time_seconds,acc_x_raw,acc_x_filtered,acc_magnitude,is_peak,activity
0,0.0,1.012817,1.012807288106377,1.0254638265637166,0,STANDING
1,0.02,1.022833,1.0159044032640479,1.0360765164833148,1,STANDING
2,0.04,1.022028,1.0184360749427774,1.034573859569214,0,STANDING
3,0.06,1.017877,1.0200304232146835,1.0310354238360095,0,STANDING
4,0.08,1.02368,1.0206164494920773,1.036488601486355,1,STANDING
5,0.1,1.016974,1.020403242816216,1.030185261332936,0,STANDING
6,0.12,1.017746,1.0197609426234797,1.0315003026237317,0,STANDING
7,0.14,1.019263,1.0190682751856237,1.0324948255351596,1,STANDING
8,0.16,1.016417,1.0185915798596348,1.0292944565956235,0,STANDING
9,0.18,1.020745,1.0184334597061453,1.032911859278927,1,STANDING
10,0.2,1.018643,1.0185528750544106,1.0306946424642278,0,STANDING
11,0.22,1.019521,1.018830111818191,1.0311359009744174,0,STANDING
12,0.24,1.02026,1.0191396851350751,1.0313647773229235,1,STANDING
13,0.26,1.018041,1.0194014350965623,1.029886752930116,0,STANDING
14,0.28,1.020829,1.0195968189359088,1.0329566962848453,1,STANDING
15,0.3,1.018644,1.019754090312455,1.0304538653284379,0,STANDING
16,0.32,1.019398,1.0199165993399488,1.0310479248187934,0,STANDING
17,0.34,1.020399,1.0201114213182247,1.0322247751623994,1,STANDING
18,0.36,1.019222,1.0203319890695521,1.0313488959958845,0,STANDING
19,0.38,1.022093,1.0205402720873333,1.0343673504180513,1,STANDING
20,0.4,1.020433,1.020684538270248,1.0331251578502818,0,STANDING
21,0.42,1.020534,1.0207222271061946,1.0332104767476278,0,STANDING
22,0.44,1.021503,1.0206369048815398,1.0340083015647312,1,STANDING
23,0.46,1.019931,1.0204427924540842,1.0326227508161534,0,STANDING
24,0.48,1.02048,1.0201765632020463,1.033070843854883,1,STANDING
25,0.5,1.018945,1.0198814857267264,1.0315624651786677,0,STANDING
26,0.52,1.019238,1.0195922585157904,1.0319298820252518,0,STANDING
27,0.54,1.019989,1.019328330151344,1.0327026154749877,1,STANDING
28,0.56,1.018917,1.0190982582446253,1.0316763446290595,0,STANDING
29,0.58,1.019762,1.0189104441317514,1.0318490835252754,1,STANDING
30,0.6,1.019021,1.0187814810627551,1.0303841518272805,0,STANDING
31,0.62,1.017887,1.0187354484586848,1.0295272603101084,0,STANDING
32,0.64,1.018136,1.0187942115356183,1.0303704747359952,0,STANDING
33,0.66,1.019543,1.0189648919353802,1.0318047286782168,0,STANDING
34,0.68,1.020242,1.0192311721478349,1.0327339214742828,1,STANDING
35,0.7,1.018757,1.019550586658994,1.031772532947025,0,STANDING
36,0.72,1.019534,1.0198566925592147,1.0322807502283524,0,STANDING
37,0.74,1.019862,1.0200667786340063,1.0322871624708552,1,STANDING
38,0.76,1.01906,1.0200985050336364,1.0316848730251114,0,STANDING
39,0.78,1.020717,1.0198963607727682,1.0330657979163573,1,STANDING
40,0.8,1.021055,1.019460485160725,1.0329176868383705,0,STANDING
41,0.82,1.020178,1.018862067839031,1.0319051245104514,0,STANDING
42,0.84,1.018108,1.0182298491378234,1.0298274290269767,0,STANDING
43,0.86,1.014776,1.0177062070031884,1.0265461336438073,0,STANDING
44,0.88,1.015374,1.0173926030321618,1.027385852830464,0,STANDING
45,0.9,1.018429,1.0173155849088755,1.031063722644173,0,STANDING
46,0.92,1.019895,1.0174328769262162,1.033212958765041,1,STANDING
47,0.94,1.018647,1.0176714243247593,1.032016896015351,0,STANDING
48,0.96,1.016387,1.0179694842203735,1.0292595957463597,0,STANDING
49,0.98,1.017053,1.0182991393651748,1.02945994829035,0,STANDING
50,1.0,1.019572,1.0186649746590304,1.0317705541366453,0,STANDING
51,1.02,1.021097,1.019087578240585,1.0329318614639609,1,STANDING
52,1.04,1.019488,1.0195794461613354,1.0309956821623416,0,STANDING
53,1.06,1.017218,1.0201178514127354,1.0297113822789956,0,STANDING
54,1.08,1.019876,1.0206249132293381,1.0336465908173547,0,STANDING
55,1.1,1.022022,1.0209717633816973,1.0352179802329797,1,STANDING
56,1.12,1.020574,1.0210168203076724,1.0332872148906904,0,STANDING
57,1.14,1.021588,1.0206681827351596,1.0347503604180333,0,STANDING
58,1.16,1.022298,1.0199422331445849,1.035286145531529,1,STANDING
59,1.18,1.019369,1.0189870438047168,1.0320569688248706,0,STANDING
60,1.2,1.01698,1.0180519746257206,1.02949723410372,0,STANDING
61,1.22,1.016774,1.0174088910342638,1.02906220219203,0,STANDING
62,1.24,1.016079,1.0172548758654203,1.0283002470317575,0,STANDING
63,1.26,1.015292,1.017637782931733,1.0272840321744907,0,STANDING
64,1.28,1.018851,1.0184375819910678,1.0310274542493891,0,STANDING
65,1.3,1.02238,1.0194116908640705,1.0349935632280907,1,STANDING
66,1.32,1.020781,1.0202829233753394,1.0334164129643753,0,STANDING
67,1.34,1.020218,1.0208304967148198,1.0326644030125105,0,STANDING
68,1.36,1.021344,1.0209487861409012,1.0334067953495225,1,STANDING
69,1.38,1.020522,1.0206595059337369,1.0326649546338145,0,STANDING
70,1.4,1.01979,1.0200838772599528,1.031976497362154,0,STANDING
71,1.42,1.019216,1.0193918836676088,1.03083555707497,0,STANDING
72,1.44,1.018307,1.0187474161652712,1.029950609014861,0,STANDING
73,1.46,1.017996,1.0182652694522565,1.0300447296833715,0,STANDING
74,1.48,1.017932,1.0179902363797582,1.0301601938396039,0,STANDING
75,1.5,1.018121,1.0179007813796317,1.0304575377961045,0,STANDING
76,1.52,1.018305,1.0179318000085567,1.0311064794750442,0,STANDING
77,1.54,1.018458,1.0180054335176436,1.0320472024889416,1,STANDING
78,1.56,1.018201,1.0180580821392906,1.031264484592192,0,STANDING
79,1.58,1.017129,1.0180560717117233,1.029216848344309,0,STANDING
80,1.6,1.017814,1.0179993816851645,1.0300049953722166,0,STANDING
81,1.62,1.0188,1.0179177437696965,1.031092840169206,1,STANDING
82,1.64,1.017601,1.017863071458028,1.0296070061769005,0,STANDING
83,1.66,1.01797,1.0178986132524823,1.029860485089849,0,STANDING
84,1.68,1.018489,1.0180835016186804,1.030616436399425,1,STANDING
85,1.7,1.017787,1.0184534709268744,1.0301744907161359,0,STANDING
86,1.72,1.019167,1.0190020930497732,1.0316518786764313,0,STANDING
87,1.74,1.019789,1.0196691277510106,1.032347180014713,1,STANDING
88,1.76,1.019462,1.0203424968877084,1.0317566530118671,0,STANDING
89,1.78,1.020433,1.020878148142846,1.032839343095803,0,STANDING
90,1.8,1.021189,1.021137655722535,1.0341955928934525,0,STANDING
91,1.82,1.021903,1.0210361737861773,1.0351675464007988,0,STANDING
92,1.84,1.021936,1.0205846085458066,1.0352373427039279,1,STANDING
93,1.86,1.02055,1.0199051722404455,1.0332790625925035,0,STANDING
94,1.88,1.018878,1.0192052398103786,1.0308231985258074,0,STANDING
95,1.9,1.018548,1.018711213957493,1.0299886004606507,0,STANDING
96,1.92,1.017389,1.018584549444753,1.0286341729868302,0,STANDING
97,1.94,1.015021,1.018855597952455,1.0267367792715452,0,STANDING
98,1.96,1.01931,1.0194090263813727,1.0313849404437938,0,STANDING
99,1.98,1.024606,1.020033374162079,1.0369109628057422,1,STANDING
100,2.0,1.021863,1.020513145793097,1.0342769189826,0,STANDING
101,2.02,1.020201,1.0207158539984145,1.0321985952622936,0,STANDING
102,2.04,1.020573,1.0206305170023788,1.0325360776770822,1,STANDING
103,2.06,1.018729,1.020345982147789,1.0306711778479747,0,STANDING
104,2.08,1.01936,1.0199912251028718,1.0312179117489086,0,STANDING
105,2.1,1.019954,1.0196734005083568,1.0323624037199624,1,STANDING
106,2.12,1.018969,1.019441341208824,1.0320051381108817,0,STANDING
107,2.14,1.019633,1.0192840197173427,1.0330284921148738,1,STANDING
108,2.16,1.019553,1.0191569089726744,1.0326669388464975,0,STANDING
109,2.18,1.019179,1.0190198242168083,1.0320581749082336,0,STANDING
110,2.2,1.019695,1.0188679291602512,1.0329426185867987,1,STANDING
111,2.22,1.019145,1.0187416673354408,1.0319132504690414,0,STANDING
112,2.24,1.018516,1.018710169884748,1.0306294061576355,0,STANDING
113,2.26,1.017926,1.0188344606066544,1.0303634344555248,0,STANDING
114,2.28,1.01778,1.0191278044366876,1.0303100121268034,0,STANDING
115,2.3,1.018917,1.0195348701985192,1.0312127633234727,0,STANDING
116,2.32,1.020606,1.0199440403647557,1.033054392098268,0,STANDING
117,2.34,1.022583,1.0202296196451546,1.035076833645841,1,STANDING
118,2.36,1.020981,1.020302909718362,1.033278440764192,0,STANDING
119,2.38,1.018065,1.0201462717807877,1.0300746925521331,0,STANDING
120,2.4,1.019638,1.0198167810590208,1.0313570655382915,0,STANDING
121,2.42,1.020017,1.0194249191519391,1.0318363384807168,1,STANDING
122,2.44,1.018766,1.0191029852254954,1.0307933654611334,0,STANDING
123,2.46,1.019815,1.018973878255782,1.032060767643242,1,STANDING
124,2.48,1.01929,1.0191234522701227,1.0317691209113804,0,STANDING
125,2.5,1.018445,1.0195778845495433,1.0308737420500147,0,STANDING
126,2.52,1.019372,1.0202912698875162,1.0315814848801874,0,STANDING
127,2.54,1.021171,1.0211515540632694,1.0327307575430822,0,STANDING
